Word,Length,Log_Freq_HAL,I_Mean_RT,I_Mean_Accuracy
advance,32.11095618,31.70948091,623.5639865,3.451413358
advanced,32.12762345,31.72732688,623.4465441,3.453238811
advancement,32.14429072,31.74517285,623.3291017,3.455064263
advancements,32.16095799,31.76301882,623.2116593,3.456889716
advances,32.17762526,31.78086479,623.0942169,3.458715168
advancing,32.19429253,31.79871076,622.9767745,3.460540621
advantage,32.21095979,31.81655673,622.8593321,3.462366073
advantageous,32.22762706,31.8344027,622.7418897,3.464191525
advantageously,32.24429433,31.85224867,622.6244473,3.466016978
advantages,32.2609616,31.87009464,622.5070049,3.46784243
advent,32.27762887,31.88794061,622.3895625,3.469667883
adventitious,32.29429614,31.90578658,622.2721201,3.471493335
adventure,32.31096341,31.92363255,622.1546777,3.473318788
adventurers,32.32763068,31.94147852,622.0372353,3.47514424
adventures,32.34429794,31.9593245,621.9197929,3.476969693
adventuring,32.36096521,31.97717047,621.8023505,3.478795145
adventurous,32.37763248,31.99501644,621.6849081,3.480620597
adverb,32.39429975,32.01286241,621.5674657,3.48244605
adverbial,32.41096702,32.03070838,621.4500233,3.484271502
adverbs,32.42763429,32.04855435,621.3325809,3.486096955
adversaries,32.44430156,32.06640032,621.2151385,3.487922407
adversary,32.46096883,32.08424629,621.0976961,3.48974786
adverse,32.47763609,32.10209226,620.9802537,3.491573312
adversely,32.49430336,32.11993823,620.8628113,3.493398765
adversity,32.51097063,32.1377842,620.7453689,3.495224217
advert,32.5276379,32.15563017,620.6279265,3.497049669
advertise,32.54430517,32.17347614,620.5104841,3.498875122
advertised,32.56097244,32.19132211,620.3930417,3.500700574
advertisement,32.57763971,32.20916808,620.2755992,3.502526027
advertisements,32.59430698,32.22701405,620.1581568,3.504351479
advertiser,32.61097424,32.24486002,620.0407144,3.506176932
advertisers,32.62764151,32.26270599,619.923272,3.508002384
advertises,32.64430878,32.28055196,619.8058296,3.509827837
advertising,32.66097605,32.29839793,619.6883872,3.511653289
advice,32.67764332,32.3162439,619.5709448,3.513478741
advisability,32.69431059,32.33408987,619.4535024,3.515304194
advisable,32.71097786,32.35193585,619.33606,3.517129646
advise,32.72764513,32.36978182,619.2186176,3.518955099
advised,32.74431239,32.38762779,619.1011752,3.520780551
advisedly,32.76097966,32.40547376,618.9837328,3.522606004
advisement,32.77764693,32.42331973,618.8662904,3.524431456
adviser,32.7943142,32.4411657,618.748848,3.526256909
advisers,32.81098147,32.45901167,618.6314056,3.528082361
advises,32.82764874,32.47685764,618.5139632,3.529907813
advising,32.84431601,32.49470361,618.3965208,3.531733266
advisor,32.86098327,32.51254958,618.2790784,3.533558718
admonishing,32.87765054,32.53039555,618.161636,3.535384171
admonishments,32.89431781,32.54824152,618.0441936,3.537209623
admonition,32.91098508,32.56608749,617.9267512,3.539035076
admonitions,32.92765235,32.58393346,617.8093088,3.540860528
ado,32.94431962,32.60177943,617.6918664,3.542685981
adobe,32.96098689,32.6196254,617.574424,3.544511433
adolescence,32.97765416,32.63747137,617.4569816,3.546336885
adolescent,32.99432142,32.65531734,617.3395392,3.548162338
adolescents,33.01098869,32.67316331,617.2220968,3.54998779
adolescent's,33.02765596,32.69100928,617.1046544,3.551813243
Adolf,33.04432323,32.70885525,616.987212,3.553638695
Adonis,33.0609905,32.72670122,616.8697696,3.555464148
adopt,33.07765777,32.7445472,616.7523272,3.5572896
adopted,33.09432504,32.76239317,616.6348848,3.559115053
adopting,33.11099231,32.78023914,616.5174424,3.560940505
adoption,33.12765957,32.79808511,616.4,3.562765957
adopts,33.14432684,32.81593108,616.2825576,3.56459141
adorable,33.16099411,32.83377705,616.1651152,3.566416862
adoration,33.17766138,32.85162302,616.0476728,3.568242315
adore,33.19432865,32.86946899,615.9302304,3.570067767
adored,33.21099592,32.88731496,615.812788,3.57189322
adores,33.22766319,32.90516093,615.6953456,3.573718672
adorn,33.24433046,32.9230069,615.5779032,3.575544125
adorned,33.26099772,32.94085287,615.4604608,3.577369577
adornment,33.27766499,32.95869884,615.3430184,3.579195029
adorns,33.29433226,32.97654481,615.225576,3.581020482
adrenal,33.31099953,32.99439078,615.1081336,3.582845934
adrenalin,33.3276668,33.01223675,614.9906912,3.584671387
Adrian,33.34433407,33.03008272,614.8732488,3.586496839
Adriatic,33.36100134,33.04792869,614.7558064,3.588322292
adrift,33.37766861,33.06577466,614.638364,3.590147744
adroit,33.39433587,33.08362063,614.5209216,3.591973197
adroitness,33.41100314,33.1014666,614.4034792,3.593798649
ads,33.42767041,33.11931257,614.2860368,3.595624101
adsorbed,33.44433768,33.13715854,614.1685944,3.597449554
adsorbs,33.46100495,33.15500452,614.051152,3.599275006
adulation,33.47767222,33.17285049,613.9337096,3.601100459
adult,33.49433949,33.19069646,613.8162672,3.602925911
adulterant,33.51100676,33.20854243,613.6988248,3.604751364
adulterate,33.52767402,33.2263884,613.5813824,3.606576816
adulterated,33.54434129,33.24423437,613.46394,3.608402269
adulterer,33.56100856,33.26208034,613.3464976,3.610227721
adulterers,33.57767583,33.27992631,613.2290552,3.612053173
adulteress,33.5943431,33.29777228,613.1116128,3.613878626
adulterous,33.61101037,33.31561825,612.9941704,3.615704078
adultery,33.62767764,33.33346422,612.876728,3.617529531
adulthood,33.6443449,33.35131019,612.7592856,3.619354983
adults,33.66101217,33.36915616,612.6418432,3.621180436
advance,33.67767944,33.38700213,612.5244008,3.623005888
advanced,33.69434671,33.4048481,612.4069583,3.624831341
advancement,33.71101398,33.42269407,612.2895159,3.626656793
advancements,33.72768125,33.44054004,612.1720735,3.628482245
advances,33.74434852,33.45838601,612.0546311,3.630307698
advancing,33.76101579,33.47623198,611.9371887,3.63213315
advantage,33.77768305,33.49407795,611.8197463,3.633958603
advantageous,33.79435032,33.51192392,611.7023039,3.635784055
advantageously,33.81101759,33.52976989,611.5848615,3.637609508
advantages,33.82768486,33.54761587,611.4674191,3.63943496
advent,33.84435213,33.56546184,611.3499767,3.641260413
adventitious,33.8610194,33.58330781,611.2325343,3.643085865
adventure,33.87768667,33.60115378,611.1150919,3.644911317
adventurers,33.89435394,33.61899975,610.9976495,3.64673677
adventures,33.9110212,33.63684572,610.8802071,3.648562222
adventuring,33.92768847,33.65469169,610.7627647,3.650387675
adventurous,33.94435574,33.67253766,610.6453223,3.652213127
adverb,33.96102301,33.69038363,610.5278799,3.65403858
adverbial,33.97769028,33.7082296,610.4104375,3.655864032
adverbs,33.99435755,33.72607557,610.2929951,3.657689485
adversaries,34.01102482,33.74392154,610.1755527,3.659514937
adversary,34.02769209,33.76176751,610.0581103,3.661340389
adverse,34.04435935,33.77961348,609.9406679,3.663165842
adversely,34.06102662,33.79745945,609.8232255,3.664991294
adversity,34.07769389,33.81530542,609.7057831,3.666816747
advert,34.09436116,33.83315139,609.5883407,3.668642199
advertise,34.11102843,33.85099736,609.4708983,3.670467652
advertised,34.1276957,33.86884333,609.3534559,3.672293104
advertisement,34.14436297,33.8866893,609.2360135,3.674118557
advertisements,34.16103024,33.90453527,609.1185711,3.675944009
advertiser,34.1776975,33.92238124,609.0011287,3.677769461
advertisers,34.19436477,33.94022722,608.8836863,3.679594914
advertises,34.21103204,33.95807319,608.7662439,3.681420366
advertising,34.22769931,33.97591916,608.6488015,3.683245819
advice,34.24436658,33.99376513,608.5313591,3.685071271
advisability,34.26103385,34.0116111,608.4139167,3.686896724
advisable,34.27770112,34.02945707,608.2964743,3.688722176
advise,34.29436838,34.04730304,608.1790319,3.690547629
advised,34.31103565,34.06514901,608.0615895,3.692373081
advisedly,34.32770292,34.08299498,607.9441471,3.694198533
advisement,34.34437019,34.10084095,607.8267047,3.696023986
adviser,34.36103746,34.11868692,607.7092623,3.697849438
advisers,34.37770473,34.13653289,607.5918199,3.699674891
advises,34.394372,34.15437886,607.4743775,3.701500343
advising,34.41103927,34.17222483,607.3569351,3.703325796
advisor,34.42770653,34.1900708,607.2394927,3.705151248
admonishing,34.4443738,34.20791677,607.1220503,3.706976701
admonishments,34.46104107,34.22576274,607.0046079,3.708802153
admonition,34.47770834,34.24360871,606.8871655,3.710627605
admonitions,34.49437561,34.26145468,606.7697231,3.712453058
ado,34.51104288,34.27930065,606.6522807,3.71427851
adobe,34.52771015,34.29714662,606.5348383,3.716103963
adolescence,34.54437742,34.31499259,606.4173959,3.717929415
adolescent,34.56104468,34.33283857,606.2999535,3.719754868
adolescents,34.57771195,34.35068454,606.1825111,3.72158032
adolescent's,34.59437922,34.36853051,606.0650687,3.723405772
Adolf,34.61104649,34.38637648,605.9476263,3.725231225
Adonis,34.62771376,34.40422245,605.8301839,3.727056677
adopt,34.64438103,34.42206842,605.7127415,3.72888213
adopted,34.6610483,34.43991439,605.5952991,3.730707582
adopting,34.67771557,34.45776036,605.4778567,3.732533035
adoption,34.69438283,34.47560633,605.3604143,3.734358487
adopts,34.7110501,34.4934523,605.2429719,3.73618394
adorable,34.72771737,34.51129827,605.1255295,3.738009392
adoration,34.74438464,34.52914424,605.0080871,3.739834844
adore,34.76105191,34.54699021,604.8906447,3.741660297
adored,34.77771918,34.56483618,604.7732023,3.743485749
adores,34.79438645,34.58268215,604.6557599,3.745311202
adorn,34.81105372,34.60052812,604.5383175,3.747136654
adorned,34.82772098,34.61837409,604.420875,3.748962107
adornment,34.84438825,34.63622006,604.3034326,3.750787559
adorns,34.86105552,34.65406603,604.1859902,3.752613012
adrenal,34.87772279,34.671912,604.0685478,3.754438464
adrenalin,34.89439006,34.68975797,603.9511054,3.756263916
Adrian,34.91105733,34.70760394,603.833663,3.758089369
Adriatic,34.9277246,34.72544992,603.7162206,3.759914821
adrift,34.94439187,34.74329589,603.5987782,3.761740274
adroit,34.96105913,34.76114186,603.4813358,3.763565726
adroitness,34.9777264,34.77898783,603.3638934,3.765391179
ads,34.99439367,34.7968338,603.246451,3.767216631
adsorbed,35.01106094,34.81467977,603.1290086,3.769042084
adsorbs,35.02772821,34.83252574,603.0115662,3.770867536
adulation,35.04439548,34.85037171,602.8941238,3.772692988
adult,35.06106275,34.86821768,602.7766814,3.774518441
adulterant,35.07773001,34.88606365,602.659239,3.776343893
adulterate,35.09439728,34.90390962,602.5417966,3.778169346
adulterated,35.11106455,34.92175559,602.4243542,3.779994798
adulterer,35.12773182,34.93960156,602.3069118,3.781820251
adulterers,35.14439909,34.95744753,602.1894694,3.783645703
adulteress,35.16106636,34.9752935,602.072027,3.785471156
adulterous,35.17773363,34.99313947,601.9545846,3.787296608
adultery,35.1944009,35.01098544,601.8371422,3.78912206
adulthood,35.21106816,35.02883141,601.7196998,3.790947513
adults,35.22773543,35.04667738,601.6022574,3.792772965
advance,35.2444027,35.06452335,601.484815,3.794598418
advanced,35.26106997,35.08236932,601.3673726,3.79642387
advancement,35.27773724,35.10021529,601.2499302,3.798249323
advancements,35.29440451,35.11806127,601.1324878,3.800074775
advances,35.31107178,35.13590724,601.0150454,3.801900228
advancing,35.32773905,35.15375321,600.897603,3.80372568
advantage,35.34440631,35.17159918,600.7801606,3.805551132
advantageous,35.36107358,35.18944515,600.6627182,3.807376585
advantageously,35.37774085,35.20729112,600.5452758,3.809202037
advantages,35.39440812,35.22513709,600.4278334,3.81102749
advent,35.41107539,35.24298306,600.310391,3.812852942
adventitious,35.42774266,35.26082903,600.1929486,3.814678395
adventure,35.44440993,35.278675,600.0755062,3.816503847
adventurers,35.4610772,35.29652097,599.9580638,3.8183293
adventures,35.47774446,35.31436694,599.8406214,3.820154752
adventuring,35.49441173,35.33221291,599.723179,3.821980204
adventurous,35.511079,35.35005888,599.6057366,3.823805657
adverb,35.52774627,35.36790485,599.4882942,3.825631109
adverbial,35.54441354,35.38575082,599.3708518,3.827456562
adverbs,35.56108081,35.40359679,599.2534094,3.829282014
adversaries,35.57774808,35.42144276,599.135967,3.831107467
adversary,35.59441535,35.43928873,599.0185246,3.832932919
adverse,35.61108261,35.4571347,598.9010822,3.834758372
adversely,35.62774988,35.47498067,598.7836398,3.836583824
adversity,35.64441715,35.49282664,598.6661974,3.838409276
advert,35.66108442,35.51067261,598.548755,3.840234729
advertise,35.67775169,35.52851859,598.4313126,3.842060181
advertised,35.69441896,35.54636456,598.3138702,3.843885634
advertisement,35.71108623,35.56421053,598.1964278,3.845711086
advertisements,35.72775349,35.5820565,598.0789854,3.847536539
advertiser,35.74442076,35.59990247,597.961543,3.849361991
advertisers,35.76108803,35.61774844,597.8441006,3.851187444
advertises,35.7777553,35.63559441,597.7266582,3.853012896
advertising,35.79442257,35.65344038,597.6092158,3.854838348
advice,35.81108984,35.67128635,597.4917734,3.856663801
advisability,35.82775711,35.68913232,597.374331,3.858489253
advisable,35.84442438,35.70697829,597.2568886,3.860314706
advise,35.86109164,35.72482426,597.1394462,3.862140158
advised,35.87775891,35.74267023,597.0220038,3.863965611
advisedly,35.89442618,35.7605162,596.9045614,3.865791063
advisement,35.91109345,35.77836217,596.787119,3.867616516
adviser,35.92776072,35.79620814,596.6696766,3.869441968
advisers,35.94442799,35.81405411,596.5522342,3.87126742
advises,35.96109526,35.83190008,596.4347917,3.873092873
advising,35.97776253,35.84974605,596.3173493,3.874918325
advisor,35.99442979,35.86759202,596.1999069,3.876743778
admonishing,36.01109706,35.88543799,596.0824645,3.87856923
admonishments,36.02776433,35.90328396,595.9650221,3.880394683
admonition,36.0444316,35.92112994,595.8475797,3.882220135
admonitions,36.06109887,35.93897591,595.7301373,3.884045588
ado,36.07776614,35.95682188,595.6126949,3.88587104
adobe,36.09443341,35.97466785,595.4952525,3.887696492
adolescence,36.11110068,35.99251382,595.3778101,3.889521945
adolescent,36.12776794,36.01035979,595.2603677,3.891347397
adolescents,36.14443521,36.02820576,595.1429253,3.89317285
adolescent's,36.16110248,36.04605173,595.0254829,3.894998302
Adolf,36.17776975,36.0638977,594.9080405,3.896823755
Adonis,36.19443702,36.08174367,594.7905981,3.898649207
adopt,36.21110429,36.09958964,594.6731557,3.90047466
adopted,36.22777156,36.11743561,594.5557133,3.902300112
adopting,36.24443883,36.13528158,594.4382709,3.904125564
adoption,36.26110609,36.15312755,594.3208285,3.905951017
adopts,36.27777336,36.17097352,594.2033861,3.907776469
adorable,36.29444063,36.18881949,594.0859437,3.909601922
adoration,36.3111079,36.20666546,593.9685013,3.911427374
adore,36.32777517,36.22451143,593.8510589,3.913252827
adored,36.34444244,36.2423574,593.7336165,3.915078279
adores,36.36110971,36.26020337,593.6161741,3.916903732
adorn,36.37777698,36.27804934,593.4987317,3.918729184
adorned,36.39444424,36.29589531,593.3812893,3.920554636
adornment,36.41111151,36.31374129,593.2638469,3.922380089
adorns,36.42777878,36.33158726,593.1464045,3.924205541
adrenal,36.44444605,36.34943323,593.0289621,3.926030994
adrenalin,36.46111332,36.3672792,592.9115197,3.927856446
Adrian,36.47778059,36.38512517,592.7940773,3.929681899
Adriatic,36.49444786,36.40297114,592.6766349,3.931507351
adrift,36.51111512,36.42081711,592.5591925,3.933332804
adroit,36.52778239,36.43866308,592.4417501,3.935158256
adroitness,36.54444966,36.45650905,592.3243077,3.936983708
ads,36.56111693,36.47435502,592.2068653,3.938809161
adsorbed,36.5777842,36.49220099,592.0894229,3.940634613
adsorbs,36.59445147,36.51004696,591.9719805,3.942460066
adulation,36.61111874,36.52789293,591.8545381,3.944285518
adult,36.62778601,36.5457389,591.7370957,3.946110971
adulterant,36.64445327,36.56358487,591.6196533,3.947936423
adulterate,36.66112054,36.58143084,591.5022109,3.949761876
adulterated,36.67778781,36.59927681,591.3847685,3.951587328
adulterer,36.69445508,36.61712278,591.2673261,3.95341278
adulterers,36.71112235,36.63496875,591.1498837,3.955238233
adulteress,36.72778962,36.65281472,591.0324413,3.957063685
adulterous,36.74445689,36.67066069,590.9149989,3.958889138
adultery,36.76112416,36.68850666,590.7975565,3.96071459
adulthood,36.77779142,36.70635264,590.6801141,3.962540043
adults,36.79445869,36.72419861,590.5626717,3.964365495
advance,36.81112596,36.74204458,590.4452293,3.966190948
advanced,36.82779323,36.75989055,590.3277869,3.9680164
advancement,36.8444605,36.77773652,590.2103445,3.969841852
advancements,36.86112777,36.79558249,590.0929021,3.971667305
advances,36.87779504,36.81342846,589.9754597,3.973492757
advancing,36.89446231,36.83127443,589.8580173,3.97531821
advantage,36.91112957,36.8491204,589.7405749,3.977143662
advantageous,36.92779684,36.86696637,589.6231325,3.978969115
advantageously,36.94446411,36.88481234,589.5056901,3.980794567
advantages,36.96113138,36.90265831,589.3882477,3.98262002
advent,36.97779865,36.92050428,589.2708053,3.984445472
adventitious,36.99446592,36.93835025,589.1533629,3.986270924
adventure,37.01113319,36.95619622,589.0359205,3.988096377
adventurers,37.02780046,36.97404219,588.9184781,3.989921829
adventures,37.04446772,36.99188816,588.8010357,3.991747282
adventuring,37.06113499,37.00973413,588.6835933,3.993572734
adventurous,37.07780226,37.0275801,588.5661509,3.995398187
adverb,37.09446953,37.04542607,588.4487084,3.997223639
adverbial,37.1111368,37.06327204,588.331266,3.999049092
adverbs,37.12780407,37.08111801,588.2138236,4.000874544
adversaries,37.14447134,37.09896399,588.0963812,4.002699996
adversary,37.1611386,37.11680996,587.9789388,4.004525449
adverse,37.17780587,37.13465593,587.8614964,4.006350901
adversely,37.19447314,37.1525019,587.744054,4.008176354
adversity,37.21114041,37.17034787,587.6266116,4.010001806
advert,37.22780768,37.18819384,587.5091692,4.011827259
advertise,37.24447495,37.20603981,587.3917268,4.013652711
advertised,37.26114222,37.22388578,587.2742844,4.015478163
advertisement,37.27780949,37.24173175,587.156842,4.017303616
advertisements,37.29447675,37.25957772,587.0393996,4.019129068
advertiser,37.31114402,37.27742369,586.9219572,4.020954521
advertisers,37.32781129,37.29526966,586.8045148,4.022779973
advertises,37.34447856,37.31311563,586.6870724,4.024605426
advertising,37.36114583,37.3309616,586.56963,4.026430878
advice,37.3778131,37.34880757,586.4521876,4.028256331
advisability,37.39448037,37.36665354,586.3347452,4.030081783
advisable,37.41114764,37.38449951,586.2173028,4.031907235
advise,37.4278149,37.40234548,586.0998604,4.033732688
advised,37.44448217,37.42019145,585.982418,4.03555814
advisedly,37.46114944,37.43803742,585.8649756,4.037383593
advisement,37.47781671,37.45588339,585.7475332,4.039209045
adviser,37.49448398,37.47372936,585.6300908,4.041034498
advisers,37.51115125,37.49157534,585.5126484,4.04285995
advises,37.52781852,37.50942131,585.395206,4.044685403
advising,37.54448579,37.52726728,585.2777636,4.046510855
advisor,37.56115305,37.54511325,585.1603212,4.048336307
admonishing,37.57782032,37.56295922,585.0428788,4.05016176
admonishments,37.59448759,37.58080519,584.9254364,4.051987212
admonition,37.61115486,37.59865116,584.807994,4.053812665
admonitions,37.62782213,37.61649713,584.6905516,4.055638117
ado,37.6444894,37.6343431,584.5731092,4.05746357
adobe,37.66115667,37.65218907,584.4556668,4.059289022
adolescence,37.67782394,37.67003504,584.3382244,4.061114475
adolescent,37.6944912,37.68788101,584.220782,4.062939927
adolescents,37.71115847,37.70572698,584.1033396,4.064765379
adolescent's,37.72782574,37.72357295,583.9858972,4.066590832
Adolf,37.74449301,37.74141892,583.8684548,4.068416284
Adonis,37.76116028,37.75926489,583.7510124,4.070241737
adopt,37.77782755,37.77711086,583.63357,4.072067189
adopted,37.79449482,37.79495683,583.5161276,4.073892642
adopting,37.81116209,37.8128028,583.3986852,4.075718094
adoption,37.82782935,37.83064877,583.2812428,4.077543547
adopts,37.84449662,37.84849474,583.1638004,4.079368999
adorable,37.86116389,37.86634071,583.046358,4.081194451
adoration,37.87783116,37.88418668,582.9289156,4.083019904
adore,37.89449843,37.90203266,582.8114732,4.084845356
adored,37.9111657,37.91987863,582.6940308,4.086670809
adores,37.92783297,37.9377246,582.5765884,4.088496261
adorn,37.94450023,37.95557057,582.459146,4.090321714
adorned,37.9611675,37.97341654,582.3417036,4.092147166
adornment,37.97783477,37.99126251,582.2242612,4.093972619
adorns,37.99450204,38.00910848,582.1068188,4.095798071
adrenal,38.01116931,38.02695445,581.9893764,4.097623523
adrenalin,38.02783658,38.04480042,581.871934,4.099448976
Adrian,38.04450385,38.06264639,581.7544916,4.101274428
Adriatic,38.06117112,38.08049236,581.6370492,4.103099881
adrift,38.07783838,38.09833833,581.5196068,4.104925333
adroit,38.09450565,38.1161843,581.4021644,4.106750786
adroitness,38.11117292,38.13403027,581.284722,4.108576238
ads,38.12784019,38.15187624,581.1672796,4.110401691
adsorbed,38.14450746,38.16972221,581.0498372,4.112227143
adsorbs,38.16117473,38.18756818,580.9323948,4.114052595
adulation,38.177842,38.20541415,580.8149524,4.115878048
adult,38.19450927,38.22326012,580.69751,4.1177035
adulterant,38.21117653,38.24110609,580.5800676,4.119528953
adulterate,38.2278438,38.25895206,580.4626251,4.121354405
adulterated,38.24451107,38.27679803,580.3451827,4.123179858
adulterer,38.26117834,38.29464401,580.2277403,4.12500531
adulterers,38.27784561,38.31248998,580.1102979,4.126830763
adulteress,38.29451288,38.33033595,579.9928555,4.128656215
adulterous,38.31118015,38.34818192,579.8754131,4.130481667
adultery,38.32784742,38.36602789,579.7579707,4.13230712
adulthood,38.34451468,38.38387386,579.6405283,4.134132572
adults,38.36118195,38.40171983,579.5230859,4.135958025
advance,38.37784922,38.4195658,579.4056435,4.137783477
advanced,38.39451649,38.43741177,579.2882011,4.13960893
advancement,38.41118376,38.45525774,579.1707587,4.141434382
advancements,38.42785103,38.47310371,579.0533163,4.143259835
advances,38.4445183,38.49094968,578.9358739,4.145085287
advancing,38.46118557,38.50879565,578.8184315,4.146910739
advantage,38.47785283,38.52664162,578.7009891,4.148736192
advantageous,38.4945201,38.54448759,578.5835467,4.150561644
advantageously,38.51118737,38.56233356,578.4661043,4.152387097
advantages,38.52785464,38.58017953,578.3486619,4.154212549
advent,38.54452191,38.5980255,578.2312195,4.156038002
adventitious,38.56118918,38.61587147,578.1137771,4.157863454
adventure,38.57785645,38.63371744,577.9963347,4.159688907
adventurers,38.59452371,38.65156341,577.8788923,4.161514359
adventures,38.61119098,38.66940938,577.7614499,4.163339811
adventuring,38.62785825,38.68725536,577.6440075,4.165165264
adventurous,38.64452552,38.70510133,577.5265651,4.166990716
adverb,38.66119279,38.7229473,577.4091227,4.168816169
adverbial,38.67786006,38.74079327,577.2916803,4.170641621
adverbs,38.69452733,38.75863924,577.1742379,4.172467074
adversaries,38.7111946,38.77648521,577.0567955,4.174292526
adversary,38.72786186,38.79433118,576.9393531,4.176117979
adverse,38.74452913,38.81217715,576.8219107,4.177943431
adversely,38.7611964,38.83002312,576.7044683,4.179768883
adversity,38.77786367,38.84786909,576.5870259,4.181594336
advert,38.79453094,38.86571506,576.4695835,4.183419788
advertise,38.81119821,38.88356103,576.3521411,4.185245241
advertised,38.82786548,38.901407,576.2346987,4.187070693
advertisement,38.84453275,38.91925297,576.1172563,4.188896146
advertisements,38.86120001,38.93709894,575.9998139,4.190721598
advertiser,38.87786728,38.95494491,575.8823715,4.192547051
advertisers,38.89453455,38.97279088,575.7649291,4.194372503
advertises,38.91120182,38.99063685,575.6474867,4.196197955
advertising,38.92786909,39.00848282,575.5300443,4.198023408
advice,38.94453636,39.02632879,575.4126019,4.19984886
advisability,38.96120363,39.04417476,575.2951595,4.201674313
advisable,38.9778709,39.06202073,575.1777171,4.203499765
advise,38.99453816,39.07986671,575.0602747,4.205325218
advised,39.01120543,39.09771268,574.9428323,4.20715067
advisedly,39.0278727,39.11555865,574.8253899,4.208976123
advisement,39.04453997,39.13340462,574.7079475,4.210801575
adviser,39.06120724,39.15125059,574.5905051,4.212627027
advisers,39.07787451,39.16909656,574.4730627,4.21445248
advises,39.09454178,39.18694253,574.3556203,4.216277932
advising,39.11120905,39.2047885,574.2381779,4.218103385
advisor,39.12787631,39.22263447,574.1207355,4.219928837
admonishing,39.14454358,39.24048044,574.0032931,4.22175429
admonishments,39.16121085,39.25832641,573.8858507,4.223579742
admonition,39.17787812,39.27617238,573.7684083,4.225405195
admonitions,39.19454539,39.29401835,573.6509659,4.227230647
ado,39.21121266,39.31186432,573.5335235,4.229056099
adobe,39.22787993,39.32971029,573.4160811,4.230881552
adolescence,39.2445472,39.34755626,573.2986387,4.232707004
adolescent,39.26121446,39.36540223,573.1811963,4.234532457
adolescents,39.27788173,39.3832482,573.0637539,4.236357909
adolescent's,39.294549,39.40109417,572.9463115,4.238183362
Adolf,39.31121627,39.41894014,572.8288691,4.240008814
Adonis,39.32788354,39.43678611,572.7114267,4.241834267
adopt,39.34455081,39.45463208,572.5939843,4.243659719
adopted,39.36121808,39.47247806,572.4765418,4.245485171
adopting,39.37788534,39.49032403,572.3590994,4.247310624
adoption,39.39455261,39.50817,572.241657,4.249136076
adopts,39.41121988,39.52601597,572.1242146,4.250961529
adorable,39.42788715,39.54386194,572.0067722,4.252786981
adoration,39.44455442,39.56170791,571.8893298,4.254612434
adore,39.46122169,39.57955388,571.7718874,4.256437886
adored,39.47788896,39.59739985,571.654445,4.258263339
adores,39.49455623,39.61524582,571.5370026,4.260088791
adorn,39.51122349,39.63309179,571.4195602,4.261914243
adorned,39.52789076,39.65093776,571.3021178,4.263739696
adornment,39.54455803,39.66878373,571.1846754,4.265565148
adorns,39.5612253,39.6866297,571.067233,4.267390601
adrenal,39.57789257,39.70447567,570.9497906,4.269216053
adrenalin,39.59455984,39.72232164,570.8323482,4.271041506
Adrian,39.61122711,39.74016761,570.7149058,4.272866958
Adriatic,39.62789438,39.75801358,570.5974634,4.274692411
adrift,39.64456164,39.77585955,570.480021,4.276517863
adroit,39.66122891,39.79370552,570.3625786,4.278343315
adroitness,39.67789618,39.81155149,570.2451362,4.280168768
ads,39.69456345,39.82939746,570.1276938,4.28199422
adsorbed,39.71123072,39.84724343,570.0102514,4.283819673
adsorbs,39.72789799,39.86508941,569.892809,4.285645125
adulation,39.74456526,39.88293538,569.7753666,4.287470578
adult,39.76123253,39.90078135,569.6579242,4.28929603
adulterant,39.77789979,39.91862732,569.5404818,4.291121482
adulterate,39.79456706,39.93647329,569.4230394,4.292946935
adulterated,39.81123433,39.95431926,569.305597,4.294772387
adulterer,39.8279016,39.97216523,569.1881546,4.29659784
adulterers,39.84456887,39.9900112,569.0707122,4.298423292
adulteress,39.86123614,40.00785717,568.9532698,4.300248745
adulterous,39.87790341,40.02570314,568.8358274,4.302074197
adultery,39.89457068,40.04354911,568.718385,4.30389965
adulthood,39.91123794,40.06139508,568.6009426,4.305725102
adults,39.92790521,40.07924105,568.4835002,4.307550554
advance,39.94457248,40.09708702,568.3660578,4.309376007
advanced,39.96123975,40.11493299,568.2486154,4.311201459
advancement,39.97790702,40.13277896,568.131173,4.313026912
advancements,39.99457429,40.15062493,568.0137306,4.314852364
advances,40.01124156,40.1684709,567.8962882,4.316677817
advancing,40.02790882,40.18631687,567.7788458,4.318503269
advantage,40.04457609,40.20416284,567.6614034,4.320328722
advantageous,40.06124336,40.22200881,567.543961,4.322154174
advantageously,40.07791063,40.23985478,567.4265186,4.323979626
advantages,40.0945779,40.25770075,567.3090762,4.325805079
advent,40.11124517,40.27554673,567.1916338,4.327630531
adventitious,40.12791244,40.2933927,567.0741914,4.329455984
adventure,40.14457971,40.31123867,566.956749,4.331281436
adventurers,40.16124697,40.32908464,566.8393066,4.333106889
adventures,40.17791424,40.34693061,566.7218642,4.334932341
adventuring,40.19458151,40.36477658,566.6044218,4.336757794
adventurous,40.21124878,40.38262255,566.4869794,4.338583246
adverb,40.22791605,40.40046852,566.369537,4.340408698
adverbial,40.24458332,40.41831449,566.2520946,4.342234151
adverbs,40.26125059,40.43616046,566.1346522,4.344059603
adversaries,40.27791786,40.45400643,566.0172098,4.345885056
adversary,40.29458512,40.4718524,565.8997674,4.347710508
adverse,40.31125239,40.48969837,565.782325,4.349535961
adversely,40.32791966,40.50754434,565.6648826,4.351361413
adversity,40.34458693,40.52539031,565.5474402,4.353186866
